market,grade,count,min_abs_edge,avg_abs_edge,max_abs_edge,min_edge,max_edge,sides
Earned Runs,A,1,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,Over:1
Hits,A+,8,0.43999999999999995,0.49124999999999996,0.56,-0.56,-0.43999999999999995,Under:8
Hits,B,3,0.25,0.27666666666666667,0.31000000000000005,-0.31000000000000005,-0.25,Under:3
RBIs,A+,9,0.27,0.27,0.27,-0.27,-0.27,Under:9
RBIs,A,34,0.21999999999999997,0.24794117647058822,0.27,-0.27,-0.21999999999999997,Under:34
RBIs,A-,34,0.18,0.20029411764705884,0.24,-0.24,-0.18,Under:34
RBIs,B+,39,0.15000000000000002,0.1705128205128205,0.18,-0.18,-0.15000000000000002,Under:39
RBIs,B,35,0.09999999999999998,0.13,0.15000000000000002,-0.15000000000000002,-0.09999999999999998,Under:35
RBIs,B-,31,0.06,0.08451612903225807,0.10999999999999999,-0.10999999999999999,-0.06,Under:31
RBIs,C+,18,0.010000000000000009,0.03222222222222223,0.06,-0.06,-0.010000000000000009,Under:18
Runs,A+,12,0.3,0.30416666666666664,0.31,-0.31,-0.3,Under:12
