market,grade,count,min_abs_edge,avg_abs_edge,max_abs_edge,min_edge,max_edge,sides
Earned Runs,A,2,1.2,1.2000000000000002,1.2000000000000002,-1.2,1.2000000000000002,"Over:1, Under:1"
Earned Runs,A-,1,1.0,1.0,1.0,1.0,1.0,Over:1
Earned Runs,B+,6,0.7,0.7999999999999999,0.8999999999999999,-0.8999999999999999,0.8999999999999999,"Over:3, Under:3"
Earned Runs,B,5,0.5,0.56,0.6000000000000001,-0.6000000000000001,0.6000000000000001,"Over:4, Under:1"
Earned Runs,B-,5,0.2999999999999998,0.3199999999999999,0.3999999999999999,-0.3999999999999999,0.30000000000000004,"Over:2, Under:3"
Earned Runs,C+,6,0.0,0.08333333333333341,0.20000000000000018,-0.20000000000000018,0.10000000000000009,"Over:2, Push:2, Under:2"
Hits,A+,21,0.43999999999999995,0.4795238095238095,0.56,-0.56,0.55,"Over:13, Under:8"
Hits,A,43,0.38,0.41139534883720935,0.49,-0.44999999999999996,0.49,"Over:34, Under:9"
Hits,A-,34,0.33999999999999997,0.3585294117647059,0.43000000000000005,-0.3799999999999999,0.43000000000000005,"Over:25, Under:9"
Hits,B+,37,0.31000000000000005,0.32216216216216215,0.35,-0.33000000000000007,0.35,"Over:30, Under:7"
Hits,B,42,0.25,0.28500000000000003,0.31000000000000005,-0.31000000000000005,0.31000000000000005,"Over:39, Under:3"
Hits,B-,42,0.15000000000000002,0.205,0.27,-0.2,0.27,"Over:41, Under:1"
Hits,C+,45,0.0,0.07755555555555556,0.15000000000000002,-0.1299999999999999,0.15000000000000002,"Over:36, Push:3, Under:6"
Hits + Runs + RBIs,A+,28,0.77,0.9310714285714285,1.44,0.77,1.44,Over:28
Hits + Runs + RBIs,A,30,0.56,0.6743333333333333,0.8999999999999999,0.56,0.8999999999999999,Over:30
Hits + Runs + RBIs,A-,39,0.3899999999999999,0.5128205128205128,0.8,-0.5700000000000001,0.8,"Over:26, Under:13"
Hits + Runs + RBIs,B+,40,0.28,0.38025000000000003,0.6299999999999999,-0.5,0.6299999999999999,"Over:32, Under:8"
Hits + Runs + RBIs,B,49,0.1499999999999999,0.23693877551020406,0.3500000000000001,-0.3500000000000001,0.3400000000000001,"Over:25, Under:24"
Hits + Runs + RBIs,B-,39,0.07000000000000006,0.12384615384615384,0.19999999999999996,-0.19999999999999996,0.19999999999999996,"Over:16, Under:23"
Hits + Runs + RBIs,C+,39,0.0,0.03512820512820516,0.1100000000000001,-0.1100000000000001,0.09000000000000008,"Over:10, Push:3, Under:26"
Hits Allowed,A+,1,1.5999999999999996,1.5999999999999996,1.5999999999999996,1.5999999999999996,1.5999999999999996,Over:1
Hits Allowed,A,2,1.2000000000000002,1.25,1.2999999999999998,-1.2999999999999998,-1.2000000000000002,Under:2
Hits Allowed,B+,4,0.7000000000000002,0.8,0.9000000000000004,-0.9000000000000004,0.7999999999999998,"Over:3, Under:1"
Hits Allowed,B,3,0.5,0.5666666666666665,0.6000000000000001,-0.6000000000000001,0.5999999999999996,"Over:1, Under:2"
Hits Allowed,B-,8,0.2999999999999998,0.3375,0.40000000000000036,-0.40000000000000036,0.40000000000000036,"Over:2, Under:6"
Hits Allowed,C+,7,0.09999999999999964,0.17142857142857146,0.20000000000000018,-0.20000000000000018,0.20000000000000018,"Over:4, Under:3"
Pitcher Outs,B,5,1.0,1.1200000000000003,1.3000000000000007,1.0,1.3000000000000007,Over:5
Pitcher Outs,B-,9,0.5,0.7111111111111109,0.9000000000000004,-0.9000000000000004,0.6999999999999993,"Over:3, Under:6"
Pitcher Outs,C+,10,0.0,0.16999999999999993,0.3999999999999986,-0.3999999999999986,0.3000000000000007,"Over:2, Push:2, Under:6"
RBIs,A+,22,0.27,0.32,0.5700000000000001,-0.27,0.5700000000000001,"Over:13, Under:9"
RBIs,A,40,0.21999999999999997,0.24699999999999997,0.27,-0.27,0.26,"Over:6, Under:34"
RBIs,A-,38,0.18,0.19921052631578948,0.24,-0.24,0.20999999999999996,"Over:4, Under:34"
RBIs,B+,45,0.15000000000000002,0.16955555555555554,0.18,-0.18,0.17000000000000004,"Over:6, Under:39"
RBIs,B,40,0.09999999999999998,0.12925,0.15000000000000002,-0.15000000000000002,0.15000000000000002,"Over:5, Under:35"
RBIs,B-,43,0.06,0.08348837209302325,0.10999999999999999,-0.10999999999999999,0.10999999999999999,"Over:12, Under:31"
RBIs,C+,37,0.0,0.031081081081081097,0.06,-0.06,0.050000000000000044,"Over:15, Push:4, Under:18"
Runs,A+,26,0.3,0.3319230769230769,0.41000000000000003,-0.31,0.41000000000000003,"Over:14, Under:12"
Runs,A,36,0.26,0.27555555555555555,0.31000000000000005,-0.3,0.31000000000000005,"Over:6, Under:30"
Runs,A-,44,0.18,0.22386363636363635,0.28,-0.28,0.26,"Over:11, Under:33"
Runs,B+,36,0.15000000000000002,0.17333333333333334,0.22999999999999998,-0.22999999999999998,0.18000000000000005,"Over:8, Under:28"
Runs,B,43,0.10999999999999999,0.12906976744186047,0.18,-0.18,0.15000000000000002,"Over:12, Under:31"
